NO,農場,圃場名,農場ID,圃場ID
1,たいら,猪込673,2372a61c-3c40-4f8e-a9a7-73c903afc835,62a5ff37-6cf2-4977-be8b-e8f3f119f86a
2,たいら,猪込671,2372a61c-3c40-4f8e-a9a7-73c903afc835,2501ba72-e2f3-43fa-9f04-290acc831790
3,たいら,猪込670,2372a61c-3c40-4f8e-a9a7-73c903afc835,1a4e9917-2f1c-4178-a6cf-945e03bc7dee
4,たいら,猪込669-1/669-2,2372a61c-3c40-4f8e-a9a7-73c903afc835,e8711b14-45c6-45be-882a-6d53c6c62c59
5,たいら,猪込740-1/740-2,2372a61c-3c40-4f8e-a9a7-73c903afc835,c63c3147-171f-4388-b555-599a56633ce3
6,たいら,猪込741,2372a61c-3c40-4f8e-a9a7-73c903afc835,ed262fd1-ed19-4db9-88bd-c20e40a3a2ed
7,たいら,猪込742,2372a61c-3c40-4f8e-a9a7-73c903afc835,bb7db172-7846-4fb7-bfda-a0d372de8cb2
8,たいら,猪込743,2372a61c-3c40-4f8e-a9a7-73c903afc835,5c3a871d-972d-403f-b8c2-e2b46986bb6c
9,たいら,平712/713/714,2372a61c-3c40-4f8e-a9a7-73c903afc835,9cf6be1d-d56c-4d05-bd2e-66c96a7b2238
10,たいら,平715/716,2372a61c-3c40-4f8e-a9a7-73c903afc835,9ded3a35-18de-4624-8743-97a6ebc7c8cc
11,たいら,平717,2372a61c-3c40-4f8e-a9a7-73c903afc835,dc333ee3-5e51-4a6f-8f09-71c29276db3f
12,たいら,平718,2372a61c-3c40-4f8e-a9a7-73c903afc835,6c33c3c1-9226-43d1-ac4f-f69417b858d3
13,たいら,平719,2372a61c-3c40-4f8e-a9a7-73c903afc835,20e67cf3-2aac-4722-b604-d069c8e17635
14,たいら,平720,2372a61c-3c40-4f8e-a9a7-73c903afc835,46952b99-1f66-4d7b-8e0c-a1b235d38bf6
15,たいら,平721/722/723,2372a61c-3c40-4f8e-a9a7-73c903afc835,306b235e-3034-4171-9b2e-542a2749df9a
16,たいら,平727,2372a61c-3c40-4f8e-a9a7-73c903afc835,1acfff47-0509-4445-a64e-8c8cd62a0b62
17,たいら,平728,2372a61c-3c40-4f8e-a9a7-73c903afc835,323f3162-05ca-4df4-89c1-6b6ad7e773d8
18,たいら,平769,2372a61c-3c40-4f8e-a9a7-73c903afc835,4782f6d1-5d1e-4598-8c5e-66069da223ba
19,たいら,平770/771/772,2372a61c-3c40-4f8e-a9a7-73c903afc835,1de354cf-943e-4d50-9d84-d1449161770c
20,たいら,平773/774,2372a61c-3c40-4f8e-a9a7-73c903afc835,58ce9cd8-acd6-4ed6-9589-60e22621e5d5
21,たいら,平828/826/827,2372a61c-3c40-4f8e-a9a7-73c903afc835,60943ded-55fb-4d8a-80a1-80a2ce8b889d
22,たいら,平829/830,2372a61c-3c40-4f8e-a9a7-73c903afc835,eaab3405-cb97-4b33-9379-5ba5947ea127
23,たいら,平831/832,2372a61c-3c40-4f8e-a9a7-73c903afc835,335875e9-0db1-4a93-8e3e-9f7bd400d9b1
24,たいら,平833/834/835,2372a61c-3c40-4f8e-a9a7-73c903afc835,73c5334b-719e-4e69-887e-b214324e8249
25,佐藤農場,七番江82,bb96bc36-ae8a-449f-b315-103f609a831a,041deefb-34ce-4a06-a6c6-ea57eb57defb
26,佐藤農場,七番江83,bb96bc36-ae8a-449f-b315-103f609a831a,846ed847-a2ec-44aa-9210-68a21757a867
